model_name,fold,best_epoch,validate_accuracy,validate_precision,validate_recall,validate_f1,validate_auroc,validate_average_precision,validate_TN,validate_FP,validate_FN,validate_TP,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_average_precision,test_TN,test_FP,test_FN,test_TP
medicalnet-18-2stage,1,42,0.8695651888847351,0.37956205010414124,0.4333333373069763,0.40466925501823425,0.8307850360870361,0.3775886297225952,968,85,68,52,0.8850837349891663,0.3435114622116089,0.40909090638160706,0.37344399094581604,0.8416565656661987,0.32382386922836304,1118,86,65,45
medicalnet-18-2stage,2,30,0.9048780202865601,0.48739495873451233,0.5087719559669495,0.497854083776474,0.8939272165298462,0.5380150079727173,1055,61,56,58,0.8866057991981506,0.3440000116825104,0.3909091055393219,0.36595743894577026,0.8315765857696533,0.30148157477378845,1122,82,67,43
medicalnet-18-2stage,3,49,0.8706070184707642,0.32413792610168457,0.4234234094619751,0.3671875,0.8442965149879456,0.34148260951042175,1043,98,64,47,0.8713850975036621,0.30201342701911926,0.40909090638160706,0.3474903404712677,0.837367832660675,0.33937108516693115,1100,104,65,45
medicalnet-18-2stage,4,12,0.9204354882240295,0.5316455960273743,0.41999998688697815,0.46927374601364136,0.87220299243927,0.4759257137775421,1057,37,58,42,0.8904109597206116,0.2976190447807312,0.22727273404598236,0.25773194432258606,0.8371715545654297,0.272028386592865,1145,59,85,25
medicalnet-34-2stage,1,37,0.8729752898216248,0.37168142199516296,0.3499999940395355,0.3605150282382965,0.8400681018829346,0.341582328081131,982,71,78,42,0.8926940560340881,0.3798449635505676,0.44545453786849976,0.41004183888435364,0.8194126486778259,0.37349772453308105,1124,80,61,49
medicalnet-34-2stage,2,26,0.9130081534385681,0.5368421077728271,0.44736841320991516,0.4880382716655731,0.8725005388259888,0.4778115749359131,1072,44,63,51,0.9071537256240845,0.4318181872367859,0.34545454382896423,0.38383838534355164,0.8423286080360413,0.3538176715373993,1154,50,72,38
medicalnet-34-2stage,3,27,0.8889776468276978,0.390625,0.45045045018196106,0.4184100329875946,0.8567006587982178,0.42364054918289185,1063,78,61,50,0.8774733543395996,0.32413792610168457,0.4272727370262146,0.3686274588108063,0.8524614572525024,0.3521616756916046,1106,98,63,47
medicalnet-34-2stage,4,48,0.9195979833602905,0.5270270109176636,0.38999998569488525,0.4482758641242981,0.8663161993026733,0.5173357129096985,1059,35,61,39,0.9033485651016235,0.3396226465702057,0.16363635659217834,0.22085890173912048,0.7933252453804016,0.2974502742290497,1169,35,92,18
medicalnet-50-2stage,1,31,0.8806478977203369,0.4137931168079376,0.4000000059604645,0.4067796468734741,0.8209719061851501,0.38065579533576965,985,68,72,48,0.8691020011901855,0.2651515007019043,0.3181818127632141,0.28925618529319763,0.8172003030776978,0.2806238532066345,1107,97,75,35
medicalnet-50-2stage,2,17,0.9032520055770874,0.4691357910633087,0.3333333432674408,0.3897435963153839,0.8734514713287354,0.4560178518295288,1073,43,76,38,0.8850837349891663,0.26966291666030884,0.2181818187236786,0.24120603501796722,0.8361220359802246,0.25460392236709595,1139,65,86,24
medicalnet-50-2stage,3,37,0.8953673839569092,0.375,0.2702702581882477,0.3141361176967621,0.8325951099395752,0.3132949471473694,1091,50,81,30,0.9025875329971313,0.32692307233810425,0.15454545617103577,0.20987653732299805,0.8231274485588074,0.2634948492050171,1169,35,93,17
medicalnet-50-2stage,4,28,0.9078726768493652,0.4590163826942444,0.5600000023841858,0.5045045018196106,0.8801097273826599,0.5590052008628845,1028,66,44,56,0.8820395469665527,0.3509933650493622,0.48181816935539246,0.40613025426864624,0.8345364332199097,0.3539154827594757,1106,98,57,53
resnet3d-18-2stage,1,6,0.8738278150558472,0.41860464215278625,0.6000000238418579,0.4931506812572479,0.8567426800727844,0.4326174557209015,953,100,48,72,0.866057813167572,0.33980581164360046,0.6363636255264282,0.4430379867553711,0.8645727634429932,0.46481406688690186,1068,136,40,70
resnet3d-18-2stage,2,7,0.9024389982223511,0.48124998807907104,0.6754385828971863,0.5620437860488892,0.9043105244636536,0.6169626712799072,1033,83,37,77,0.8713850975036621,0.3502538204193115,0.6272727251052856,0.44951140880584717,0.8637117743492126,0.44874662160873413,1076,128,41,69
resnet3d-18-2stage,3,12,0.8921725153923035,0.41304346919059753,0.5135135054588318,0.45783132314682007,0.8521132469177246,0.4520120620727539,1060,81,54,57,0.878995418548584,0.35329341888427734,0.5363636612892151,0.42599278688430786,0.8369148969650269,0.4112221598625183,1096,108,51,59
resnet3d-18-2stage,4,17,0.9137353301048279,0.48514851927757263,0.49000000953674316,0.4875621795654297,0.9086290001869202,0.5034375786781311,1042,52,51,49,0.909436821937561,0.46399998664855957,0.5272727012634277,0.4936170279979706,0.8739051222801208,0.4645867645740509,1137,67,52,58
resnet3d-34-2stage,1,6,0.9045183062553406,0.5377358198165894,0.4749999940395355,0.5044247508049011,0.8630262613296509,0.44907012581825256,1004,49,63,57,0.8843227028846741,0.37037035822868347,0.5454545617103577,0.44117647409439087,0.8699185252189636,0.43479031324386597,1102,102,50,60
resnet3d-34-2stage,2,7,0.8878048658370972,0.4277108311653137,0.6228070259094238,0.5071428418159485,0.8960731029510498,0.5339680314064026,1021,95,43,71,0.8835616707801819,0.371257483959198,0.5636363625526428,0.4476534426212311,0.8361748456954956,0.38414624333381653,1099,105,48,62
resnet3d-34-2stage,3,15,0.914536714553833,0.521276593208313,0.44144144654273987,0.47804877161979675,0.8660886287689209,0.4867158830165863,1096,45,62,49,0.8957381844520569,0.3919999897480011,0.44545453786849976,0.4170212745666504,0.8340230584144592,0.39942216873168945,1128,76,61,49
resnet3d-34-2stage,4,12,0.9070351719856262,0.4521739184856415,0.5199999809265137,0.48372092843055725,0.8878244757652283,0.5037422776222229,1031,63,48,52,0.8820395469665527,0.35668790340423584,0.5090909004211426,0.41947564482688904,0.8520764112472534,0.42061442136764526,1103,101,54,56
resnet3d-50-2stage,1,6,0.8593350648880005,0.38693466782569885,0.6416666507720947,0.48275861144065857,0.8599873781204224,0.456385999917984,931,122,43,77,0.8614916205406189,0.3285714387893677,0.6272727251052856,0.4312500059604645,0.8478329181671143,0.40785783529281616,1063,141,41,69
resnet3d-50-2stage,2,8,0.8902438879013062,0.44134077429771423,0.6929824352264404,0.5392491221427917,0.9095925092697144,0.5918177962303162,1016,100,35,79,0.8698630332946777,0.34825870394706726,0.6363636255264282,0.45016077160835266,0.8774237632751465,0.4600111246109009,1073,131,40,70
resnet3d-50-2stage,3,47,0.9169328808784485,0.5411764979362488,0.4144144058227539,0.4693877696990967,0.8744819164276123,0.4324102997779846,1102,39,65,46,0.9033485651016235,0.41584157943725586,0.38181817531585693,0.3981042802333832,0.8615825772285461,0.407504141330719,1145,59,68,42
resnet3d-50-2stage,4,46,0.8785594701766968,0.3668639063835144,0.6200000047683716,0.460966557264328,0.8863985538482666,0.5038636922836304,987,107,38,62,0.8622526526451111,0.3422222137451172,0.699999988079071,0.4597014784812927,0.8716022372245789,0.47835493087768555,1056,148,33,77
vivit_pretrained-2stage,1,14,0.8934356570243835,0.4747474789619446,0.3916666805744171,0.4292237460613251,0.8347578644752502,0.40157926082611084,1001,52,73,47,0.891933023929596,0.3688524663448334,0.40909090638160706,0.38793104887008667,0.8205753564834595,0.38543951511383057,1127,77,65,45
vivit_pretrained-2stage,2,7,0.9040650129318237,0.48245614767074585,0.48245614767074585,0.48245614767074585,0.8917577862739563,0.4838479161262512,1057,59,59,55,0.8835616707801819,0.3358778655529022,0.4000000059604645,0.3651452362537384,0.8205602169036865,0.34231603145599365,1117,87,66,44
vivit_pretrained-2stage,3,34,0.8881788849830627,0.3858267664909363,0.44144144654273987,0.4117647111415863,0.8398749232292175,0.41325199604034424,1063,78,62,49,0.8774733543395996,0.3396226465702057,0.4909090995788574,0.40148699283599854,0.8197070956230164,0.3640184700489044,1099,105,56,54
vivit_pretrained-2stage,4,36,0.8701842427253723,0.3560209572315216,0.6800000071525574,0.4673539400100708,0.8693327903747559,0.41838085651397705,971,123,32,68,0.8371385335922241,0.2699114978313446,0.5545454621315002,0.363095223903656,0.8286468982696533,0.3456062972545624,1039,165,49,61
